sensor_id,latitude,longitude,start_time_local,end_time_local,start_time_unix_epoch,end_time_unix_epoch
65:6F:11:10:6A:80,33.123,-96.781,2025-01-06T01:29:56.121000-06:00,2025-01-06T05:33:19.383237-06:00,1.73615E+12,1.73616E+12
1F:37:75:40:EE:C0,32.857,-97.149,2025-01-06T01:33:28.657000-06:00,2025-01-06T02:12:00.573122-06:00,1.73615E+12,1.73615E+12
FB:66:0A:10:6A:80,32.81,-96.558,2025-01-06T01:40:14.003000-06:00,2025-01-06T07:23:43.689554-06:00,1.73615E+12,1.73617E+12
77:C3:0C:10:6A:80,33.15,-96.693,2025-01-06T01:43:52.965000-06:00,2025-01-06T05:33:14.101255-06:00,1.73615E+12,1.73616E+12
D1:AD:A6:51:7F:C4,32.658,-96.905,2025-01-06T01:44:37.671000-06:00,2025-01-06T01:48:20.895247-06:00,1.73615E+12,1.73615E+12
E7:4F:12:10:6A:80,33.036,-95.397,2025-01-06T01:49:52.635000-06:00,2025-12-31T23:59:59-06:00,1.73615E+12,1.76725E+12
67:85:0A:10:6A:80,32.333,-95.372,2025-01-06T01:50:12.801000-06:00,2025-01-06T06:55:00.727046-06:00,1.73615E+12,1.73617E+12
FF:25:27:10:6A:80,32.625,-96.785,2025-01-06T01:53:36.196000-06:00,2025-01-06T04:29:12.755322-06:00,1.73615E+12,1.73616E+12
A5:48:A8:51:7F:C4,32.897,-97.096,2025-01-06T01:54:13.246000-06:00,2025-01-06T09:52:26.690748-06:00,1.73615E+12,1.73618E+12
2B:56:15:10:6A:80,33.589,-96.994,2025-01-06T01:56:10.006000-06:00,2025-01-06T02:33:19.571816-06:00,1.73615E+12,1.73615E+12
BB:D6:04:10:6A:80,32.645,-97.603,2025-01-06T01:56:59.718000-06:00,2025-01-06T03:51:05.751458-06:00,1.73615E+12,1.73616E+12
6F:65:06:10:6A:80,33.17,-97.102,2025-01-06T01:57:35.702000-06:00,2025-01-06T02:46:32.465462-06:00,1.73615E+12,1.73615E+12
63:C4:AB:51:7F:C4,32.64,-97.408,2025-01-06T01:57:44.225000-06:00,2025-01-06T02:39:06.368937-06:00,1.73615E+12,1.73615E+12
AF:C6:A8:51:7F:C4,32.878,-96.823,2025-01-06T02:00:30.299000-06:00,2025-01-06T02:31:28.528057-06:00,1.73615E+12,1.73615E+12
E5:EE:15:10:6A:80,32.862,-97.524,2025-01-06T02:02:30.852000-06:00,2025-01-06T02:07:48.586121-06:00,1.73615E+12,1.73615E+12
73:C3:03:10:6A:80,32.616,-97.798,2025-01-06T02:06:18.997000-06:00,2025-01-06T03:28:04.794244-06:00,1.73615E+12,1.73616E+12
D5:D4:14:10:6A:80,32.607,-97.8,2025-01-06T02:06:19.495000-06:00,2025-01-06T08:23:10.729996-06:00,1.73615E+12,1.73617E+12
