sensor_id,latitude,longitude,outage
ED:87:0A:10:6A:80,32.703,-96.868,no
C3:8B:75:40:EE:C0,32.987,-96.975,no
67:79:02:10:6A:80,32.718,-97.749,no
3B:E5:74:40:EE:C0,32.883,-97.095,no
5D:92:0A:10:6A:80,32.82,-97.151,no
73:CE:04:10:6A:80,32.651,-96.859,no
E1:5F:73:40:EE:C0,32.698,-97.381,no
7B:A2:0B:10:6A:80,33.078,-96.77,no
C5:7D:75:40:EE:C0,32.966,-96.772,no
1D:DA:09:10:6A:80,32.63,-97.199,no
E3:FD:74:40:EE:C0,33.852,-98.575,no
35:B3:02:10:6A:80,32.863,-96.74,no
AF:8A:74:40:EE:C0,33.081,-96.713,no
AD:F7:74:40:EE:C0,33.002,-96.838,no
D9:69:75:40:EE:C0,32.729,-96.856,no
7B:8A:74:40:EE:C0,33.068,-97.054,no
09:B4:03:10:6A:80,32.991,-96.639,no
0B:7A:02:10:6A:80,32.884,-96.866,no
45:69:09:10:6A:80,32.585,-96.884,no
2F:77:74:40:EE:C0,32.657,-97.119,no
49:42:75:40:EE:C0,32.809,-96.717,no
25:FD:74:40:EE:C0,32.817,-97.273,no
BD:6C:75:40:EE:C0,32.997,-96.62,no
63:69:75:40:EE:C0,32.106,-96.491,no
47:9F:0B:10:6A:80,33.187,-96.705,no
FF:F9:05:10:6A:80,32.861,-96.708,no
AD:76:75:40:EE:C0,33.218,-97.113,no
43:BE:06:10:6A:80,32.66,-96.537,no
4F:49:05:10:6A:80,32.866,-97.23,no
37:16:0C:10:6A:80,32.833,-97.24,no
5D:62:05:10:6A:80,32.962,-97.169,no
A3:DF:06:10:6A:80,32.679,-96.9,no
C7:09:05:10:6A:80,32.843,-96.942,no
8D:18:0C:10:6A:80,32.657,-97.116,no
25:17:0C:10:6A:80,32.847,-96.622,no
BB:AA:04:10:6A:80,32.727,-97.177,no
B7:E1:06:10:6A:80,33.176,-96.651,no
6B:99:0A:10:6A:80,33.051,-96.8,no
29:FC:04:10:6A:80,32.885,-97.084,no
27:0E:07:10:6A:80,33.163,-96.681,no
C3:EB:04:10:6A:80,32.943,-97.184,no
B9:3F:05:10:6A:80,32.929,-96.719,no
93:DB:06:10:6A:80,32.986,-96.679,no
EB:87:0A:10:6A:80,32.88,-97.237,no
9D:4E:0B:10:6A:80,32.979,-96.867,no
1B:87:75:40:EE:C0,32.655,-97.173,no
1D:B6:0B:10:6A:80,33.029,-97.067,no
73:1C:0C:10:6A:80,32.712,-97.234,no
75:17:0C:10:6A:80,32.892,-97.15,no
F9:C6:0B:10:6A:80,32.358,-97.402,no
91:C1:06:10:6A:80,32.951,-97.092,no
B9:1A:0C:10:6A:80,33.063,-97.038,no
E9:DF:06:10:6A:80,32.961,-96.972,no
EB:2A:06:10:6A:80,32.275,-95.292,no
B7:DF:0A:10:6A:80,33.059,-96.716,no
EB:30:06:10:6A:80,32.721,-97.316,no
CF:EB:05:10:6A:80,33.003,-96.841,no
03:DF:06:10:6A:80,32.945,-96.69,no
0F:31:06:10:6A:80,32.838,-96.789,no
E3:52:0C:10:6A:80,32.756,-97.815,no
1B:B0:03:10:6A:80,32.941,-96.639,no
BB:52:73:40:EE:C0,32.973,-97.679,no
C1:96:02:10:6A:80,32.903,-97.233,no
8D:DF:06:10:6A:80,32.653,-95.724,no
EB:0D:0A:10:6A:80,32.864,-97.23,no
91:1D:0C:10:6A:80,32.924,-96.511,no
